Section	Is it sticky?	Slug	Story page headline	Story page text	Puzzle ID	Round URL	YouTube ID	notification	Email subject	Email body	Secret code
opening			A Star Rats update from Hayden Library	The search for Star Rats is derailed when it is discovered that Hayden Library has mysteriously disappeared.			xHZhW8gvsJg
ministry	1	ministry_unlocked	Meeting with the Ministers from the Ministry of Intertextual Transportation	Meeting with the Ministers: The library-aligned ministers give an overview of what's going on; <em>this video provides useful information about The Ministry</em> and should be watched before starting The Ministry puzzles.		the-ministry	fp9KHlyXmx8	You have been invited to a SpaceBook Messenger videochat with the ministers from the Ministry of Intertextual Transportation. THERE IS IMPORTANT INFORMATION FOR YOU HERE.	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with the Ministers of the Ministry of Intertextual Transportation.  They have important information to impart; please join at your earliest convenience Visit [link].
ministry	1	barker_solved	Meeting with Barker	Barker recalls that whatever attacked Bookspace is <span class="spoiler">SOMEWHAT BUGGY</span>.	83		J8Vfjc0bwWA	You have been invited to a SpaceBook Messenger videochat with Minister Barker. 	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with Minister Barker. Visit [link].
ministry	1	dewey_solved	Meeting with Dewey	Dewey recalls that whatever attacked Bookspace has a <span class="spoiler">COLORFUL HEAD</span>.	152		Hfyf5eFzGmk	You have been invited to a SpaceBook Messenger videochat with Minister Dewey.	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with Minister Dewey. Visit [link].
ministry	1	hayden_solved	Meeting with Hayden	Hayden recalls that whatever attacked Bookspace <span class="spoiler">GOES ON LONGER THAN WAR AND PEACE</span>.	168		7jy42e1RRK0	You have been invited to a SpaceBook Messenger videochat with Minister Hayden.	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with Minister Hayden. Visit [link].
ministry	1	lewis_solved	Meeting with Lewis	Lewis recalls that whatever attacked Bookspace has a <span class="spoiler">MULTIPART COMPOSITION</span>.	201		BoY1_zKDqgM	You have been invited to a SpaceBook Messenger videochat with Minister Lewis.	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with Minister Lewis. Visit [link].
ministry	1	rotch_solved	Meeting with the Rotch Brothers	The Rotch Brothers recall that whatever attacked Bookspace is <span class="spoiler">EVEN IN WIDTH</span>.	155		tAW4HiUjv5Q	You have been invited to a SpaceBook Messenger videochat with Ministers Rotch and Rotch.	SpaceBook Messenger Invitation	You have been invited to a SpaceBook Messenger videochat with Ministers Rotch and Rotch. Visit [link].
ministry	1	ministry_solved	The Wyrm Turns	It is revealed that Bookspace was damaged when <span class="spoiler">A VORACIOUS BOOKWYRM RAN AMOK</span>	1		H_Xn9OjeBeA	You have been invited to a SpaceBook Messenger videochat with the Ministers.  Check your email for details!	SpaceBook Messenger Invitation	YOU'VE DONE IT! Thank you for jogging our memories and finding the cause of Bookspace's destruction! Gather your fellow solvers; you will shortly be receiving a second email with a link for an important communication so we can thank you personally.
ministry	1	ministry_solved_autopilot	The Wyrm Turns	It is revealed that Bookspace was damaged when <span class="spoiler">A VORACIOUS BOOKWYRM RAN AMOK</span>	1		H_Xn9OjeBeA	You have been invited to a SpaceBook Messenger videochat with the Ministers.	SpaceBook Messenger Invitation	YOU'VE DONE IT! Thank you for jogging our memories and finding the cause of Bookspace's destruction! You have been invited to a SpaceBook Messenger videochat with Ministers Rotch and Rotch. Visit [link] so we can express our gratitude.
ministry	1	fruit_around_solved	Take Wings and Fly	The wyrm becomes a lovely butterfly, when we <span class="spoiler">FEED IT A NEW BERRY</span>.	508		x4ve7nuCxew	You are invited to watch an amazing transformation!	An amazing transformation!	You are invited to watch an amazing transformation! Visit [link].
tock	1	tock_1	A new friend, Tock	introduces himself.  <em>it would be useful to watch this video and get an overview of the next steps.</em>			zSnovukGiMI	There’s someone who would like to meet you!	A new friend would like to meet you!	There’s someone who would like to meet you! Please visit [link] to meet your new friend.
tock	1	tock_2	Tock welcomes you to Bookspace	and explains about the plot device. <em>This video provides useful information about Bookspace</em> and should be watched before starting Bookspace puzzles.			IdMbagDS1p4	Tock has some useful information about Bookspace.  THERE IS IMPORTANT INFORMATION FOR YOU HERE.	A new message from Tock	Tock has important information about the new world you have entered. Please view this message at your earliest convenience [link]
tock	1	tock_3	Tock offers some words of encouragement	and hopes you will continue solving at a good pace.			nH5PwALVqqc	Tock would like to offer some words of encouragement.	A new message from Tock	Tock would like to offer some words of encouragement. Visit [link] to receive them.
tock	1	tock_4	Tock offers additional words of encouragement	and wishes you well.			VP2uDasVeAo	Tock would like to offer some additional words of encouragement.	A new message from Tock	Tock would like to offer some additional words of encouragement. Visit [link] to receive them.
tock	1	tock_5	Tock congratulates you 	on assembling the Plot device. <em>This video provides useful information about  getting home</em>.	294		nrhGwCXZjL4	Tock would like to provide you with the next steps 	A new message from Tock	Tock would like to congratulate you on reassembling the plot device, and provide you with the next steps you must take to get home. Visit [link].
tock	1	tock_6	Tock says goodbye	Watch this video to bring your <span class="spoiler">LITCOIN</span> back to Tock, then check your email.	555		280EzrdRamI	Tock is sad to see you go.	A new message from Tock	Tock is sad to see you go, but would like to say goodbye. Visit [link].
letter	1	noirleans_unlocked		A Letter from Noirleans		noirleans		You have a letter welcoming you to a new region of Bookspace, Noirleans!	A letter is waiting for you	You have a letter welcoming you to a new region of Bookspace, Noirleans!	noirleans-PCajvxDYpg0trrIl
letter	1	lake_eerie_unlocked		A Letter from Lake Eerie		lake-eerie		You have a letter welcoming you to a new region of Bookspace, Lake Eerie!	A letter is waiting for you	You have a letter welcoming you to a new region of Bookspace, Lake Eerie!	lakeeerie-JezFWENP2YBenGdu
letter	1	the_quest_coast_unlocked		A Letter from the Quest Coast		the-quest-coast		You have a letter welcoming you to a new region of Bookspace, Quest Coast!	A letter is waiting for you	You have a letter welcoming you to a new region of Bookspace, Quest Coast!	questcoast-tS5nVidvhKj48j6k
letter	1	new_you_city_unlocked		A Letter from New You City		new-you-city		You have a letter welcoming you to a new region of Bookspace, New You City!	A letter is waiting for you	You have a letter welcoming you to a new region of Bookspace, New You City!	newyou-4acdeyjQ5maNz0OW
letter	1	recipeoria_unlocked		A Letter from Recipeoria		recipeoria		You have a letter welcoming you to a new region of Bookspace, Recipeoria!	A letter is waiting for you	You have a letter welcoming you to a new region of Bookspace, Recipeoria!	recipe-5rxnjAPFl4nvE8Fy
letter	1	heartford_unlocked		A Letter from Heartford		heartford		You have a letter welcoming you to a new region of Bookspace, Heartford!	A letter is waiting for you	You have a letter welcoming you to a new region of Bookspace, Hertford!	heartford-jEpMb6SLZvGPqHES
letter	1	whoston_unlocked		A Letter from Whoston		whoston		You have a letter welcoming you to a new region of Bookspace, Whoston!	A letter is waiting for you	You have a letter welcoming you to a new region of Bookspace, Whoston!	whoston-IgripWfsyqsDRfj0
letter	1	reference_point_unlocked		A Letter from Reference Point 		reference-point		You have a letter welcoming you to a new region of Bookspace, Reference Point!	A letter is waiting for you	You have a letter welcoming you to a new region of Bookspace, Reference Point!	reference-UwPQnrEVEBCHIRyB
letter	1	howtoona_unlocked		A Letter from Howtoona		howtoona		You have a letter welcoming you to a new region of Bookspace, Howtoona!	A letter is waiting for you	You have a letter welcoming you to a new region of Bookspace, Howtoona!	howto-QRytTHdcvgSG7w8i
letter	1	sci_ficisco_unlocked		A Letter from Sci-Ficisco		sci-ficisco		You have a letter welcoming you to a new region of Bookspace, Sci-Ficisco!	A letter is waiting for you	You have a letter welcoming you to a new region of Bookspace, Sci-Ficisco!	scificisco-bZVKb03BVDmjkka1
visit	1	noirleans_solved	A Visitor from Noirleans	shares <span class="spoiler">A CRYING SHAMUS</span>.	24		6EvIJ4esEcc	Thank you from Noirleans!	New Plot Device Component!	You can pick up your new Plot Device component at [link]
visit	1	lake_eerie_solved	A Visitor from Lake Eerie	shares the <span class="spoiler">ORDER OF APPARITIONS</span>.	43		wxCk2Khr_eA	Thank you from Lake Eerie!	New Plot Device Component!	You can pick up your new Plot Device component at [link]
visit	1	the_quest_coast_solved	A Visitor from the Quest Coast	shares some <span class="spoiler">NARNIA BEESWAX</span>.	251		d90BuuUmHq8	Thank you from the Quest Coast!	New Plot Device Component!	You can pick up your new Plot Device component at [link]
visit	1	new_you_city_solved	A Visitor from New You City	shares the <span class="spoiler">MORALE COMPASS</span>.	4		09CLpcZMs6M	Thank you from New You City!	New Plot Device Component!	You can pick up your new Plot Device component at [link]
visit	1	recipeoria_solved	A Visitor from Recipeoria	shares the <span class="spoiler">CALCULATED WHISK</span>.	23		G6sG7wCspFY	Thank you from Recipeoria!	New Plot Device Component!	You can pick up your new Plot Device component at [link]
visit	1	heartford_solved	A Visitor from Heartford	shares the <span class="spoiler">HEAVENLY BODICE</span>.	80		K9XlAtIcV90	Thank you from Heartford!	New Plot Device Component!	You can pick up your new Plot Device component at [link]
visit	1	whoston_solved	A Visitor from Whoston	shares the <span class="spoiler">WEB OF LIVES</span>.	82		wb-jNVyUhmU	Thank you from Whoston!	New Plot Device Component!	You can pick up your new Plot Device component at [link]
visit	1	reference_point_solved	A Visitor from Reference Point	shares some <span class="spoiler">SYNONYM TOAST</span>.	2		EsjVPN15iAs	Thank you from Reference Point!	New Plot Device Component!	You can pick up your new Plot Device component at [link]
visit	1	howtoona_solved	A Visitor from Howtoona	shares the <span class="spoiler">STEP-BY-STEP LADDER</span>.	13		_Hx9L4xVIFc	Thank you from Howtoona!	New Plot Device Component!	You can pick up your new Plot Device component at [link]
visit	1	sci_ficisco_solved	A Visitor from Sci-Ficisco	shares the <span class="spoiler">FIRST CONTACT LENS</span>.	66		66sDYZ5Gzxg	Thank you from SciFiscisco!	New Plot Device Component!	You can pick up your new Plot Device component at [link]
